


Network Metrics for year 2010

Film                   Btwns Cntr    Degree    Clstr Coef.
pieter van huystee and                      0         0            182
dharma                                      0         0            183
blue sky                                    0         0            184
blackbirds                                  0         0            185
studiocanal                                 0         0            186
lgm                                         0         0            187
ombras                                      0         0            188
firebreathings                              0         0            189
film at eleven                              0         0            190
waypoint                                    0         0            191
gramercy                                    0         0            192
fid lits                                    0         0            193
fulwell 73                                  0         0            194
a e indiefilms                              0         0            195
am rique                                    0         0            196
folimage                                    0         0            197
terregals                                   0         0            198
mama bear                                   0         0            199
pure flix                                   0         0            200
derek jarman lab                            0         0            201
lambert                                     0         0            202
ld                                          0         0            203
low key                                     0         0            204
ghost house                                 0         0            205
benetones                                   0         0            206
novotny novotnyproduction                   0         0            207
passion                                     0         0            208
cartuna                                     0         0            209
duplass                                     0         0            210
music boxs                                  0         0            211
answer                                      0         0            212
sophisticateds                              0         0            213
paladin                                     0         0            214
columbia                                    0         0            215
pennebaker hegeduss                         0         0            216
filmbuff                                    0         0            217
arrow                                       0         1            218
inspired                                    0         0            219
perdido                                     0         0            220
ratpac dune                                 0         0            221
castle rock                                 0         0            222
constantin production                       0         0            223
jaya                                        0         0            224
hidden empire                               0         0            225
low minds                                   0         0            226
france 2 cin ma                             0         0            227
southern lights                             0         0            228
paradox 3                                   0         0            229
scott frees                                 0         0            230
dracos                                      0         0            231
big beachs                                  0         0            232
ankle sock baseball pants                   0         0            233
dear rivers production                      0         0            234
a r murugadoss                              0         0            235
yale                                        0         0            236
go valley                                   0         0            237
square enixpany                             0         0            238
keep your head                              0         0            239
saville                                     0         0            240
21 laps                                     0         0            241
street justices                             0         0            242
mars                                        0         0            243
less du poisson                             0         0            244
race points                                 0         0            245
jigsaw                                      0         0            246
submarine                                   0         0            247
blumhouse                                   0         0            248
la biennale di venezia                      0         0            249
lakeshore                                   0         0            250
participant                                 0         0            251
nadiadreamworksla grandson                  0         0            252
mainstreet                                  0         0            253
empire ward                                 0         0            254
gvn                                         0         0            255
redpeter                                    0         0            256
vertov                                      0         0            257
haarika hassine creations                   0         0            258
jorva                                       0         0            259
bling unplugged                             0         0            260
tandem                                      0         0            261
alive mind                                  0         0            262
tre v nner production ab                    0         0            263
tekno hut                                   0         0            264
power of 3                                  0         0            265
german kralproduction                       0         0            266
amazon broad green                          0         0            267
electric city                               0         0            268
rai                                         0         0            269
buffalos                                    0         0            270
blackmrkt                                   0         0            271
robert kenners                              0         0            272
mouth agape                                 0         0            273
bns                                         0         0            274
envision arts                               0         0            275
la casa de production                       0         0            276
embargos                                    0         0            277
beta                                        0         0            278
xlrator                                     0         0            279
junglee                                     0         0            280
deltree production                          0         0            281
vertigo                                     0         0            282
china                                       0         0            283
less du worso                               0         0            284
arte france cin ma                          0         0            285
collective eye                              0         0            286
netflix                                     0         0            287
edkos                                       0         0            288
djs                                         0         0            289
yachaywasis                                 0         0            290
excel                                       0         0            291
block                                       0         0            292
westdeutscher rundfunk                      0         0            293
unified                                     0         0            294
beachsides                                  0         0            295
bdcine                                      0         0            296
film4                                       0         0            297
mm2                                         0         0            298
reconsider                                  0         0            299
4th rows                                    0         0            300
quixotic endeavors                          0         0            301
wigwams                                     0         0            302
radiates                                    0         0            303
alfamas production                          0         0            304
vanishs                                     0         0            305
low sparks                                  0         0            306
forks                                       0         0            307
bow                                         0         1            218


Network Metrics for year 2017

Film                          Btwns Cntr    Degree    Clstr Coef.
--------------------------  ------------  --------  -------------
1                                  0             0              0
fox                                0             1              1
warner                             0             0              2
sony                               0             1              3
ifc                                0             1              4
well go                            0             0              5
lionsgate                          0.001         5              6
a24                                0             1              7
universal                          0             0              8
paramount                          0             1              9
amazon                             0.001         4              4
magnolia                           0             0             10
disney                             0             1             11
orchard                            0             0             12
open roads                         0             0             13
roadside attraction                0.001         2              4
bleecker street                    0             3              4
focus                              0             0             14
samuel goldwyns                    0             0             15
abramorama                         0             0             16
filmrise                           0             0             17
kino lorber                        0             0             18
weinstein                          0             0             19
china lion                         0             0             20
cohen                              0             0             21
stxfilms                           0             1             22
indican                            0             0             23
neon                               0             0             24
pure flix                          0             1              9
broad green                        0             0             25
columbia                           0             0             26
oscilloscope                       0             0             27
parade decks                       0             0             28
grasshopper                        0             0             29
music boxs                         0             0             30
sevenfolds                         0             0             31
first run                          0             0             32
entertainment                      0             0             33
epic                               0             0             34
europacorp                         0             1             22
gravitas                           0             0             35
icaruss                            0             0             36
cj                                 0             0             37
pantelions                         0             0             38
directv                            0             1              7
bh tilt                            0             1             39
film movement                      0             0             40
paladin                            0             0             41
la romas                           0             0             42
pbs                                0             0             43
inner voice                        0             0             44
participant                        0             2              4
red chilliess                      0             0             45
good deed                          0             0             46
vertical                           0             0             47
yash rajs                          0             0             48
apaches                            0             0             49
stx                                0             0             50
sundance selects                   0             0             51
cinema guild                       0             0             52
gunpowder sky                      0             0             53
purdie                             0             0             54
fox star                           0             0             55
annapurna                          0             0             56
cbss                               0             1              6
eyesteelfilm                       0             0             57
tristar                            0             0             58
global digital                     0             0             59
banksides                          0             0             60
newcity                            0             0             61
clean slates                       0             0             62
milkts                             0             0             63
cold iron                          0             0             64
novustent                          0             0             65
barn owl                           0             0             66
artsploitations                    0             0             67
bad medicines                      0             0             68
heymans                            0             0             69
dark highways                      0             0             70
superlatives                       0             1             71
spirals                            0             0             72
transfiguration prods              0             0             73
marnis                             0             0             74
filmmaker r k                      0             0             75
bmps                               0             0             76
wliw new york                      0             0             77
apatow                             0             0             78
uncork d                           0             0             79
alibaba                            0             0             80
eyepop                             0             0             81
lemle                              0             0             82
cardinal ltd                       0             0             83
bull                               0             0             84
salman khans                       0             0             85
archstone                          0             0             86
diligences                         0             0             87
adamas                             0             0             88
ave fenix                          0             0             89
sabans                             0             0             90
codeblacks                         0             1              6
shellas                            0             0             91
patriot                            0             0             92
gathrs                             0             0             93
snapshot                           0             0             94
lucky movies                       0             0             95
rita                               0             0             96
gkids                              0             0             97
future you                         0             0             98
electric chinoland                 0             0             99
leomark                            0             0            100
bond360                            0             0            101
hurricanes                         0             0            102
paladins                           0             0            103
matsons                            0             0            104
dreamworks                         0             0            105
fingerprint                        0             1              4
knightmarcher                      0             0            106
compass                            0             0            107
check gate                         0             0            108
zipporahs                          0             0            109
mongrel                            0             0            110
showbox                            0             0            111
transient                          0             0            112
ambi                               0             0            113
maven                              0             0            114
stxs                               0             0            115
sarkasmos                          0             0            116
zero point zeros                   0             0            117
fathom events                      0             0            118
arcade                             0             0            119
bones                              0             1            120
falling sky                        0             0            121
cfi                                0             0            122
blue sky                           0             1              1
arka works                         0             0            123
butimar                            0             0            124
monterey                           0             0            125
salem street                       0             0            126
gs                                 0             0            127
cinelous                           0             0            128
pixar                              0             1             11
harbinger                          0             0            129
dharma                             0             0            130
metromunications                   0             0            131
pepper                             0             1            120
riverrain                          0             0            132
dune                               0             0            133
sound vision                       0             0            134
depth of field                     0             1             71
affirms                            0             1              3
atlas                              0             0            135
affluence movies pvt ltd           0             0            136
black sheep                        0             0            137
buena onda srl                     0             0            138
next                               0             0            139
amblin                             0             0            140
full autos                         0             0            141
bcdf                               0             0            142
cnsmunications                     0             0            143
aubin                              0             0            144
riveting                           0             0            145
apple orange                       0             0            146
dadas                              0             0            147
gravity                            0             0            148
harlempany                         0             0            149
hailey dean twos                   0             0            150
volitions                          0             0            151
rezolution                         0             0            152
next gens                          0             0            153
screens                            0             0            154
more                               0             0            155
devil s harvest production         0             0            156
pimientas                          0             0            157
marcies                            0             0            158
earth                              0             0            159
disneynature                       0             0            160
disney theatrical                  0             0            161
helios digital learning            0             1            162
kartemquins                        0             1            162
tpspany                            0             0            163
p artisanproduction gmbh           0             0            164
menemshas                          0             0            165
kasperlin production               0             0            166
utv                                0             0            167
sneaky sneakys                     0             0            168
strand                             0             0            169
ebersole hughespany                0             0            170
xe creative pool                   0             0            171
cine1                              0             0            172
impact partners                    0             0            173
anguille                           0             0            174
socdoc                             0             0            175
katapult                           0             0            176
blanketfort                        0             0            177
mangal murtis pvt ltd              0             0            178
less du losange                    0             0            179
freestyle                          0             0            180
electric                           0             0            181
studio ghibli                      0             0            182
grasshoppers                       0             0            183
sumerians                          0             0            184
a71                                0             0            185
aviron                             0             0            186
bravearts                          0             0            187
pulses                             0             0            188
skydances                          0             0            189
wwe                                0             1             39
chubbco                            0             0            190
petit                              0             0            191
star overseas                      0             0            192
match factory                      0             0            193
rai                                0             0            194
nevision one                       0             0            195
reframed                           0             0            196
crosss                             0             0            197
cmc                                0             0            198
gos                                0             0            199
woodland park                      0             0            200
madras talkies                     0             0            201
dimensions                         0             0            202
xyzs                               0             0            203
abstract                           0             0            204
ideaman                            0             0            205
